,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,L_rostralanteriorcingulate_cortex,L_rostralanteriorcingulate_cortex,L_thalamus,L_thalamus,L_hippocampus,R_rostralanteriorcingulate_cortex,R_rostralanteriorcingulate_cortex,R_thalamus,R_hippocampus,L_rostralanteriorcingulate_cortex,L_thalamus,L_hippocampus,L_amygdala,L_rostralanteriorcingulate_cortex,L_hippocampus,L_amygdala
1,L_thalamus,L_amygdala,L_hippocampus,R_hippocampus,L_amygdala,R_thalamus,R_amygdala,R_hippocampus,R_amygdala,R_thalamus,R_rostralanteriorcingulate_cortex,R_thalamus,R_rostralanteriorcingulate_cortex,R_amygdala,R_amygdala,R_hippocampus
113922,131.0,287.0,1261.0,2.0,349.0,109.0,1008.0,419.0,249.0,,12.0,18.0,,,10.0,
114116,30.0,126.0,608.0,,86.0,889.0,426.0,3409.0,526.0,,3.0,3.0,,6.0,,
114217,240.0,272.0,1761.0,,754.0,94.0,621.0,805.0,449.0,1.0,,,4.0,,,
114318,81.0,127.0,466.0,3.0,255.0,351.0,115.0,597.0,335.0,,1.0,,,,,
114419,224.0,253.0,811.0,2.0,1349.0,650.0,895.0,2367.0,529.0,,10.0,,,1.0,,
114621,62.0,259.0,501.0,,342.0,40.0,714.0,610.0,140.0,,2.0,3.0,1.0,,,
114823,146.0,732.0,2594.0,121.0,1244.0,712.0,1075.0,3391.0,920.0,16.0,1.0,60.0,3.0,9.0,14.0,17.0
115017,2.0,9.0,609.0,3.0,24.0,385.0,243.0,575.0,742.0,,2.0,,,,3.0,
115219,70.0,197.0,1124.0,10.0,441.0,154.0,4.0,1216.0,173.0,,9.0,1.0,,,,
115320,375.0,419.0,3092.0,6.0,1628.0,207.0,157.0,1071.0,384.0,10.0,1.0,11.0,,6.0,122.0,3.0
115724,85.0,18.0,51.0,14.0,1.0,58.0,562.0,527.0,3541.0,28.0,6.0,,,,,
115825,16.0,285.0,341.0,3.0,468.0,214.0,228.0,1303.0,627.0,,,1.0,,,1.0,1.0
116221,200.0,2048.0,1721.0,1.0,3268.0,953.0,310.0,2218.0,873.0,,,,,,,
116423,18.0,2373.0,1287.0,,2467.0,63.0,526.0,1076.0,1162.0,2.0,,13.0,,,,
116524,211.0,11.0,884.0,2.0,130.0,309.0,289.0,390.0,77.0,5.0,,9.0,,,,
117021,127.0,183.0,1249.0,,314.0,296.0,1620.0,947.0,982.0,,14.0,,,,17.0,1.0
117122,43.0,916.0,2147.0,67.0,502.0,131.0,230.0,1750.0,2171.0,13.0,7.0,20.0,,11.0,2.0,7.0
117324,38.0,174.0,1221.0,,545.0,23.0,103.0,851.0,504.0,,,,,,,
117930,33.0,55.0,1345.0,15.0,394.0,356.0,390.0,1924.0,490.0,8.0,4.0,47.0,,,,
118023,116.0,283.0,1628.0,,784.0,3.0,45.0,339.0,286.0,,,1.0,,,58.0,
118124,17.0,5.0,732.0,,6.0,43.0,765.0,979.0,879.0,,,11.0,,,,
118225,47.0,974.0,594.0,219.0,277.0,1334.0,2548.0,2902.0,3069.0,10.0,294.0,12.0,5.0,23.0,65.0,
118730,73.0,702.0,1561.0,,547.0,7.0,15.0,136.0,32.0,,2.0,,,,,
118831,44.0,50.0,1194.0,,80.0,152.0,844.0,519.0,709.0,,,1.0,,,,
119025,548.0,282.0,1558.0,107.0,63.0,206.0,457.0,986.0,1251.0,,5.0,20.0,,,159.0,
119126,45.0,301.0,2456.0,,157.0,188.0,778.0,728.0,678.0,,,,,,,
119732,33.0,8.0,330.0,2.0,2.0,2461.0,2743.0,2600.0,2511.0,16.0,21.0,31.0,,,,
119833,1.0,237.0,840.0,4.0,202.0,34.0,7.0,262.0,42.0,,,1.0,,,1.0,
120111,63.0,115.0,982.0,159.0,102.0,438.0,37.0,1687.0,796.0,,51.0,85.0,,,,
120212,585.0,1541.0,1684.0,,1925.0,56.0,64.0,287.0,221.0,26.0,,,1.0,,,
120414,9.0,45.0,205.0,24.0,36.0,455.0,221.0,1146.0,218.0,,4.0,4.0,,,,
120717,1568.0,2042.0,1849.0,29.0,956.0,647.0,1136.0,2506.0,1665.0,2.0,6.0,37.0,,,3.0,
121416,175.0,19.0,296.0,,200.0,534.0,614.0,1351.0,424.0,,,17.0,,,,
121618,26.0,279.0,136.0,5.0,40.0,46.0,564.0,696.0,361.0,,,,,,,
121921,477.0,2262.0,2571.0,1.0,6586.0,1873.0,1752.0,2697.0,713.0,3.0,15.0,15.0,1.0,2.0,2.0,
122317,167.0,2357.0,1470.0,1.0,2428.0,359.0,674.0,2151.0,818.0,,,133.0,,,,
122822,19.0,226.0,477.0,2.0,26.0,474.0,1757.0,897.0,459.0,,9.0,,,,,
123117,97.0,867.0,33.0,33.0,261.0,255.0,138.0,175.0,21.0,,178.0,11.0,,48.0,9.0,
123420,109.0,239.0,1834.0,,519.0,586.0,136.0,1305.0,106.0,,,,,,,
123521,61.0,936.0,2689.0,,488.0,20.0,16.0,450.0,262.0,,,,,,,
123723,753.0,368.0,2014.0,1.0,301.0,267.0,186.0,1476.0,567.0,6.0,24.0,22.0,,4.0,7.0,
123824,2.0,24.0,98.0,,9.0,20.0,1582.0,179.0,1451.0,,,,1.0,,,
